Initial Velocity, Mean = 0, Std = 1
v_x,v_y,v_z
-0.77679,-1.0828,1.15554
-0.252181,0.241687,1.64257
-1.42108,-0.131263,-0.199749
1.23147,0.313602,1.24383
-1.57116,-1.24042,-1.03338
0.00672547,0.324861,0.366554
-0.449436,0.178914,-1.89654
0.303234,0.197744,-0.692459
-0.000550399,0.00468098,0.0451314
1.20366,-1.65865,1.23327
-1.3824,-0.0550607,-1.15862
1.26128,-0.0904807,0.661641
1.61224,0.466831,-0.121645
-1.13845,1.65313,-0.215171
0.54044,-0.127749,0.942991
0.493565,-0.161121,1.05837
-0.431924,-0.179091,-0.746499
-0.474029,1.04508,-0.564731
0.254784,0.161555,2.09539
-0.762199,1.14011,-0.455526
-1.19785,-2.10146,-1.78499
-0.47054,-1.02524,0.0958181
-1.02254,0.935604,1.9917
-0.504467,0.265133,1.19731
0.373901,-0.0289091,0.396443
-1.37947,1.25524,0.434709
0.660706,-0.149482,-0.192809
0.624274,1.521,-0.829935
1.75814,-0.494667,1.25777
-0.655292,-0.3339,-0.704734
-1.3265,-0.283342,-0.887873
1.17473,-0.207918,0.0611224
-0.0576229,-0.520929,0.732049
0.361338,0.0160909,0.965187
0.781548,0.353145,-0.76494
0.199983,0.503797,-1.94974
-1.49582,1.13097,0.707208
-1.25148,1.37781,-0.996405
-0.355206,-0.0601235,1.15773
-0.810966,-1.08534,1.01216
-0.0615073,1.20298,1.14586
-0.604954,-0.262872,1.08233
1.03682,-0.250993,0.261512
-1.45803,1.10907,-0.315961
-1.27399,-1.51543,-0.39884
0.252798,0.247142,0.604192
-1.19765,2.39646,1.15324
-0.858437,-0.701346,0.343226
2.18439,-0.358405,0.069675
1.11731,0.247766,-1.1033
0.922397,0.828977,-0.0645793
0.436423,-0.552292,-1.4838
0.80846,0.361821,0.137141
0.154779,1.47905,-1.08
0.45143,2.17264,-0.385265
0.98605,-2.51553,0.750033
0.0909997,0.778465,-0.0109104
0.531344,1.16669,-1.51298
1.1483,0.66997,-1.2595
1.71293,0.527135,0.834178
